Unnamed: 0;location_id;location_name;year_id;sex_id;sex;measure_id;measure_name;metric_id;metric_name;scenario_id;scenario_name;val;lower;upper;expectancy years;expectancy weeks
6632;79;Finland;2028;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.28316311032759;82.995983381527;83.5662055635783;83.28316311032759;4330.724481737035
6633;79;Finland;2029;3;Both;26;Life expectancy;1;Number;0;Reference;83.40749749557202;83.12585042193625;83.6823519582933;83.40749749557202;4337.189869769745
6634;79;Finland;2029;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;83.67281452368003;83.38864588105486;83.9439817330028;83.67281452368003;4350.986355231362
6635;79;Finland;2029;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.44391033346317;83.1622811760029;83.71833839631795;83.44391033346317;4339.083337340085
6636;79;Finland;2030;3;Both;26;Life expectancy;1;Number;0;Reference;83.55957741825799;83.27537539270512;83.84929636494824;83.55957741825799;4345.098025749416
6637;79;Finland;2030;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;83.84654906756346;83.55968561474985;84.13021039281686;83.84654906756346;4360.0205515133
6638;79;Finland;2030;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.60006712005153;83.31538676944001;83.88962803607352;83.60006712005153;4347.203490242679
6639;79;Finland;2031;3;Both;26;Life expectancy;1;Number;0;Reference;83.63192273203362;83.3297179484246;83.91774600935419;83.63192273203362;4348.859982065748
6640;79;Finland;2031;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;83.9400454567209;83.6393591964577;84.22177993988488;83.9400454567209;4364.882363749486
6641;79;Finland;2031;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.67685998657475;83.37367747836281;83.96172843047154;83.67685998657475;4351.196719301887
6642;79;Finland;2032;3;Both;26;Life expectancy;1;Number;0;Reference;83.71602995708314;83.40768163301783;84.01455681630699;83.71602995708314;4353.233557768323
6643;79;Finland;2032;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.04474466586063;83.73952467249329;84.33639753138934;84.04474466586063;4370.326722624753
6644;79;Finland;2032;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.76572990649962;83.45880741500912;84.06351486090132;83.76572990649962;4355.81795513798
6645;79;Finland;2033;3;Both;26;Life expectancy;1;Number;0;Reference;83.78040438329242;83.46507876838334;84.10052188698278;83.78040438329242;4356.581027931206
6646;79;Finland;2033;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.12183309319424;83.81192356262575;84.43505697300999;84.12183309319424;4374.3353208461
6647;79;Finland;2033;3;Both;26;Life expectancy;1;Number;21;Tobacco Smoking Elimination by 2050;83.83323307720715;83.51634389842856;84.15326242784991;83.83323307720715;4359.328120014772
6648;79;Finland;2034;3;Both;26;Life expectancy;1;Number;0;Reference;83.85566532562959;83.53953677123015;84.18153132685917;83.85566532562959;4360.494596932738
6649;79;Finland;2034;3;Both;26;Life expectancy;1;Number;20;Tobacco Smoking Elimination as of 2023;84.20992225466047;83.89301798710764;84.52881684872273;84.20992225466047;4378.915957242344
